Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,GRBM_GUI_ACTIVE,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit,SQ_WAVES,SQ_INSTS_VMEM_RD,SQ_ACTIVE_INST_VALU
15751,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15794,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3867605705,0.0112891571,5617946,0.0000000000,10589429.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15753,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15796,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3848313945,0.0114658608,5646109,0.0000000000,10591715.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15755,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15798,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3827614314,0.0167137734,5676643,0.0000000000,10591675.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15757,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15800,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3795749278,0.0114348083,5724298,0.0000000000,10589449.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15759,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15802,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3868951380,0.0114661399,5615992,0.0000000000,10591695.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15761,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15804,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3912560186,0.0116387096,5553397,0.0000000000,10591254.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15763,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15806,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3822828238,0.0132466461,5683750,0.0000000000,10589114.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15765,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15808,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3827273835,0.0112974860,5677148,0.0000000000,10589039.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15767,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15810,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3909305832,0.0148310459,5558020,0.0000000000,10589225.0000000000,4096.0000000000,0.0000000000,1024,0,313344
15769,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,15812,23972,23972,65536,256,163840,0,236,0,112,64,0x0,0x7f22b8330d80,1024.0000000000,21.5890522876,0.3875785775,0.0151247376,5606089,0.0000000000,10589316.0000000000,4096.0000000000,0.0000000000,1024,0,313344
