tile_m,tile_n,knl_name,co_name
256,256,_ZN5aiter52fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_256x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_256x256.co
224,256,_ZN5aiter52fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_224x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_224x256.co
192,256,_ZN5aiter52fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_192x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_192x256.co
160,256,_ZN5aiter52fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_160x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_160x256.co
128,256,_ZN5aiter52fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_128x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_128x256.co
96,256,_ZN5aiter51fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_96x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_96x256.co
64,256,_ZN5aiter51fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_96x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_64x256.co
32,256,_ZN5aiter51fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_96x256E,fmoe_stage2_bf16_pertokenFp4_blockscale_g1u1_32x256.co
