idx,csv_bucket,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_ck_pagedkv_ms,csv_ck_splitkv_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,csv_speedup_vs_best_triton,our_ck_ua_ms,our_triton_ms,our_speedup,output_match,max_abs_diff
793,mid,prefill,187,8192,4304,10280,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.4176957327872515,19.203283078968525,15.587947936728597,4.240636248141527,13.363703340291977,ck_ua,1.2408,2.8253,3.0335,1.0700,True,0.000488
1375,mid,prefill,165,8192,8028,10296,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.7644875701516867,9.33589842170477,18.938601901754737,4.658305319026113,13.031157106161118,ck_ua,1.2374,3.1530,3.3771,1.0700,True,0.000488
1241,mid,prefill,112,8192,7822,10229,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1736153177917004,11.511754197999835,14.437828166410327,3.8909988943487406,12.554484559223056,ck_ua,1.2260,2.7308,2.9173,1.0700,True,0.000977
1251,mid,prefill,116,8192,7419,10234,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.3068195451050997,11.908324854448438,25.8276361040771,4.053859319537878,12.381936330348253,ck_ua,1.2259,2.8350,3.0330,1.0700,True,0.000488
629,mid,prefill,121,8192,4467,10198,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.374475007876754,6.746302032843232,14.606758626177907,4.1315588634461164,12.541381549090147,ck_ua,1.2244,2.8613,3.0720,1.0700,True,0.000488
723,mid,prefill,159,8192,5053,10245,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6177370231598616,61.61002451553941,15.288252662867308,4.40421006642282,13.04968511685729,ck_ua,1.2174,3.0104,3.2255,1.0700,True,0.000488
1329,mid,prefill,147,8192,5081,10273,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.423094470053911,56.95726089179516,14.70416160300374,4.16263728402555,12.890449119731784,ck_ua,1.2160,2.8718,3.0725,1.0700,True,0.000488
233,low,decode,200,200,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.013121962547302246,0.021394062787294388,0.07652598433196545,0.01454763114452362,0.03848755732178688,ck_ua,1.1086,0.0157,0.0144,0.9200,True,0.000000
249,low,decode,168,168,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012444471940398216,0.01962091773748398,0.06665843538939953,0.013490067794919014,0.03383951261639595,ck_ua,1.0840,0.0148,0.0141,0.9500,True,0.000000
1165,low,prefill,81,8192,5549,10191,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0938684940338135,15.71516371332109,11.75609203055501,3.3359240274876356,11.884700367227197,ck_ua,1.0782,2.7428,2.9642,1.0800,True,0.000488
971,low,prefill,2,8192,6384,10000,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,1.954968273639679,2.4084472097456455,5.306498287245631,2.093606907874346,7.447571959346533,ck_ua,1.0709,1.9432,2.0672,1.0600,True,0.000977
387,low,prefill,23,8192,6406,10077,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.653064951300621,3.5808260552585125,7.78770069591701,2.8223232366144657,10.819998290389776,ck_ua,1.0638,2.4814,2.6510,1.0700,True,0.000488
359,low,prefill,11,8192,7295,10063,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4551020935177803,3.2087734900414944,7.040252955630422,2.6099033188074827,10.01520431600511,ck_ua,1.0631,2.3994,2.5618,1.0700,True,0.000488
1113,low,prefill,60,8192,6773,10165,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.917653787881136,6.175820529460907,14.900067634880543,3.090705769136548,11.672851582989097,ck_ua,1.0593,2.5932,2.7578,1.0600,True,0.000488
987,low,prefill,8,8192,7316,10102,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.351187542080879,3.0230734031647444,6.599283451214433,2.4818699806928635,10.625023348256946,ck_ua,1.0556,2.3138,2.4726,1.0700,True,0.000488
1115,low,prefill,60,8192,8133,10166,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.916231146082282,86.662139557302,10.520375519990921,3.076222212985158,11.68656493537128,ck_ua,1.0549,2.5974,2.7508,1.0600,True,0.000488
407,low,prefill,31,8192,4731,10087,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7337437495589256,4.652182292193174,10.294547164812684,2.8830767143517733,11.031835665926337,ck_ua,1.0546,2.4999,2.6693,1.0700,True,0.000488
415,low,prefill,34,8192,6076,10091,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.812399109825492,24.057624069973826,8.483969885855913,2.965439110994339,10.960345156490803,ck_ua,1.0544,2.5355,2.7164,1.0700,True,0.000977
549,low,prefill,89,8192,7183,10158,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0171443708240986,5.132705578580499,12.516996124759316,3.1724007800221443,11.81503115221858,ck_ua,1.0515,2.5836,2.7876,1.0800,True,0.000488
1097,marginal,prefill,53,8192,6265,10157,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9014266096055508,5.449823243543506,12.869074288755655,3.044331120327115,11.376835498958826,ck_ua,1.0493,2.6240,2.7939,1.0600,True,0.000488
441,marginal,prefill,45,8192,6071,10104,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.833484625443816,32.1000749245286,8.881004387512803,2.9724822845309973,11.028441973030567,ck_ua,1.0491,2.5603,2.7308,1.0700,True,0.000488
523,marginal,prefill,78,8192,5491,10145,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.013139823451638,4.532064544036984,10.998892644420266,3.156080562621355,11.737529607489705,ck_ua,1.0474,2.6778,2.7992,1.0500,True,0.000488
547,marginal,prefill,88,8192,5289,10157,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.990710036829114,8.925475180149078,11.923182383179665,3.1228017527610064,11.896089557558298,ck_ua,1.0442,2.5879,2.7542,1.0600,True,0.000488
557,marginal,prefill,92,8192,4767,10162,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.082994045689702,9.301857184618711,11.991789657622576,3.2053934410214424,11.965211620554328,ck_ua,1.0397,2.6984,2.8703,1.0600,True,0.000488
529,marginal,prefill,80,8192,8113,10148,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.068314353004098,119.02217459864914,12.632022192701697,3.1885388772934675,11.532944859936833,ck_ua,1.0392,2.7061,2.8698,1.0600,True,0.000977
317,marginal,decode,16,16,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012654811143875122,0.013802479952573776,0.01737545244395733,0.013133976608514786,0.013450020924210548,ck_ua,1.0379,0.0155,0.0153,0.9900,True,0.000000
561,marginal,prefill,93,8192,8100,10164,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0910903587937355,138.89956544153392,13.541199173778296,3.2000949140638113,11.878561601042747,ck_ua,1.0353,2.7034,2.8678,1.0600,True,0.000488
