idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,trace_count,ck_ua_ms,ck_pagedkv_ms,ck_splitkv_ms,triton_2d_ms,triton_3d_ms,best
0,prefill,1,1000,1000,1000,64,8,64,32,"127,0",19,0.04846826195716858,0.028186896815896034,0.06499788723886013,0.018976861611008644,0.1488269306719303,t_2d
1,prefill,1,1000,1000,1000,64,8,64,32,"-1,-1",19,0.046367524191737175,0.06108391098678112,0.11546663008630276,0.03825570456683636,0.14783288352191448,t_2d
2,decode,1,1,1,1001,64,8,64,32,"127,0",17,0.03409534692764282,0.015220651403069496,0.019292347133159637,0.01587066799402237,0.01531532034277916,ck_pk
3,decode,1,1,1,1001,64,8,64,32,"-1,-1",16,0.03389306366443634,0.047651492059230804,0.05559660494327545,0.025571929290890694,0.015209661796689034,t_3d
4,decode,1,1,1,1002,64,8,64,32,"127,0",2,0.03422056324779987,0.015048403292894363,0.019672419875860214,0.015336787328124046,0.015229219570755959,ck_pk
5,decode,1,1,1,1003,64,8,64,32,"127,0",2,0.03392063081264496,0.01676003448665142,0.019692443311214447,0.014813058078289032,0.015156064182519913,t_2d
6,decode,1,1,1,1004,64,8,64,32,"127,0",2,0.0340102706104517,0.01532379537820816,0.019199680536985397,0.014752475544810295,0.015235645696520805,t_2d
7,decode,1,1,1,1005,64,8,64,32,"127,0",2,0.03384198062121868,0.016567669808864594,0.019582267850637436,0.01386711373925209,0.015304284170269966,t_2d
8,decode,1,1,1,1006,64,8,64,32,"127,0",2,0.03423257730901241,0.016644829884171486,0.019675446674227715,0.013444479554891586,0.01516556367278099,t_2d
9,decode,1,1,1,1007,64,8,64,32,"127,0",2,0.03382847644388676,0.01577800139784813,0.019705481827259064,0.01485510729253292,0.015923241153359413,t_2d
10,decode,1,1,1,1008,64,8,64,32,"127,0",2,0.03421753644943237,0.01581902615725994,0.01956871710717678,0.015032850205898285,0.016158539801836014,t_2d
11,decode,1,1,1,1009,64,8,64,32,"127,0",2,0.033906614407896996,0.017221737653017044,0.01971549354493618,0.01477445475757122,0.015769479796290398,t_2d
12,decode,1,1,1,1010,64,8,64,32,"127,0",2,0.033895112574100494,0.016381964087486267,0.019684433937072754,0.013444945216178894,0.015259720385074615,t_2d
13,decode,1,1,1,1011,64,8,64,32,"127,0",2,0.033915601670742035,0.015430990606546402,0.01979013904929161,0.015390897169709206,0.015226146206259727,t_3d
14,decode,1,1,1,1012,64,8,64,32,"127,0",2,0.03409688360989094,0.015644775703549385,0.0195307657122612,0.014698877930641174,0.015848129987716675,t_2d
15,decode,1,1,1,1013,64,8,64,32,"127,0",2,0.03404030576348305,0.015592202544212341,0.019917823374271393,0.014345301315188408,0.01624319702386856,t_2d
16,decode,1,1,1,1014,64,8,64,32,"127,0",2,0.03409036435186863,0.01564030535519123,0.01967689022421837,0.015171105042099953,0.015191594138741493,t_2d
17,decode,1,1,1,1015,64,8,64,32,"127,0",2,0.033865077421069145,0.01663779839873314,0.01973705366253853,0.034575117751955986,0.01581055112183094,t_3d
18,decode,1,1,1,1016,64,8,64,32,"127,0",2,0.03425264731049538,0.015612225979566574,0.019834144040942192,0.01592072658240795,0.015731900930404663,ck_pk
19,decode,1,1,1,1017,64,8,64,32,"127,0",2,0.03411686047911644,0.017017405480146408,0.01974501647055149,0.015616323798894882,0.014945771545171738,t_3d
20,decode,1,1,1,1018,64,8,64,32,"127,0",2,0.03352547064423561,0.014753453433513641,0.01904941163957119,0.012978259474039078,0.014172634109854698,t_2d
21,decode,1,1,1,1019,64,8,64,32,"127,0",2,0.03413143567740917,0.014724908396601677,0.018953299149870872,0.012812996283173561,0.014179572463035583,t_2d
22,decode,1,1,1,1020,64,8,64,32,"127,0",2,0.03350996412336826,0.014763977378606796,0.019079074263572693,0.012364843860268593,0.014247139915823936,t_2d
23,decode,1,1,1,1021,64,8,64,32,"127,0",2,0.03342083655297756,0.014799507334828377,0.019098538905382156,0.011599622666835785,0.014166533946990967,t_2d
24,decode,1,1,1,1022,64,8,64,32,"127,0",2,0.033515458926558495,0.014797085896134377,0.018976908177137375,0.012017739936709404,0.014217104762792587,t_2d
25,decode,1,1,1,1023,64,8,64,32,"127,0",2,0.03370833583176136,0.014712382107973099,0.01908005215227604,0.011952687054872513,0.014274660497903824,t_2d
26,decode,1,1,1,1024,64,8,64,32,"127,0",2,0.03339978866279125,0.013299286365509033,0.0173038337379694,0.013173045590519905,0.014232657849788666,t_2d
27,decode,1,1,1,1025,64,8,64,32,"127,0",2,0.034246593713760376,0.014767982065677643,0.018878234550356865,0.012664729729294777,0.014313776046037674,t_2d
28,decode,1,1,1,1026,64,8,64,32,"127,0",2,0.034392764791846275,0.01463126391172409,0.018841680139303207,0.013064825907349586,0.014233170077204704,t_2d
29,decode,1,1,1,1027,64,8,64,32,"127,0",2,0.03427565097808838,0.014698924496769905,0.01884070225059986,0.012693274766206741,0.014447979629039764,t_2d
30,decode,1,1,1,1028,64,8,64,32,"127,0",2,0.0343001913279295,0.014885608106851578,0.018886709585785866,0.010961666703224182,0.014398898929357529,t_2d
31,decode,1,1,1,1029,64,8,64,32,"127,0",2,0.03419253043830395,0.014650309458374977,0.019177235662937164,0.011664768680930138,0.014188559725880623,t_2d
32,decode,1,1,1,1030,64,8,64,32,"127,0",2,0.03431770019233227,0.014686351642012596,0.018845126032829285,0.011978717520833015,0.014352845028042793,t_2d
33,decode,1,1,1,1031,64,8,64,32,"127,0",2,0.03454107791185379,0.014498084783554077,0.019117072224617004,0.012006750330328941,0.014256173744797707,t_2d
34,decode,1,1,1,1032,64,8,64,32,"127,0",2,0.034342240542173386,0.014679832383990288,0.019085034728050232,0.012049870565533638,0.014365371316671371,t_2d
35,decode,1,1,1,1033,64,8,64,32,"127,0",2,0.0341624952852726,0.01456267200410366,0.018885266035795212,0.013151019811630249,0.014357361942529678,t_2d
36,decode,1,1,1,1034,64,8,64,32,"127,0",2,0.03416696563363075,0.01459573395550251,0.01878407783806324,0.01157107762992382,0.014345301315188408,t_2d
37,decode,1,1,1,1035,64,8,64,32,"127,0",2,0.03422261215746403,0.014604255557060242,0.018862169235944748,0.01283399760723114,0.014210119843482971,t_2d
38,decode,1,1,1,1036,64,8,64,32,"127,0",2,0.034500984475016594,0.014626746997237206,0.018793577328324318,0.013589160516858101,0.01490917056798935,t_2d
39,decode,1,1,1,1037,64,8,64,32,"127,0",2,0.03405483439564705,0.014621764421463013,0.06701345555484295,0.011596130207180977,0.014272751286625862,t_2d
40,decode,1,1,1,1038,64,8,64,32,"127,0",2,0.034340750426054,0.014594709500670433,0.019150646403431892,0.013072369620203972,0.014449004083871841,t_2d
41,decode,1,1,1,1039,64,8,64,32,"127,0",2,0.03455360420048237,0.014522112905979156,0.018982402980327606,0.012223096564412117,0.014225160703063011,t_2d
42,decode,1,1,1,1040,64,8,64,32,"127,0",2,0.034303730353713036,0.01462525688111782,0.018892250955104828,0.013285689055919647,0.014274707064032555,t_2d
43,decode,1,1,1,1041,64,8,64,32,"127,0",2,0.034142378717660904,0.014665257185697556,0.01898440532386303,0.01200726255774498,0.014346372336149216,t_2d
44,decode,1,1,1,1042,64,8,64,32,"127,0",2,0.03436482511460781,0.014751451089978218,0.018962379544973373,0.013331789523363113,0.014356384053826332,t_2d
45,decode,1,1,1,1043,64,8,64,32,"127,0",2,0.0342401210218668,0.01460476778447628,0.018958374857902527,0.011803442612290382,0.01425817608833313,t_2d
46,decode,1,1,1,1044,64,8,64,32,"127,0",2,0.03421856090426445,0.014810031279921532,0.01887069083750248,0.012471433728933334,0.014406908303499222,t_2d
47,decode,1,1,1,1045,64,8,64,32,"127,0",2,0.034058280289173126,0.01473291777074337,0.01901444047689438,0.012047309428453445,0.014281738549470901,t_2d
48,decode,1,1,1,1046,64,8,64,32,"127,0",2,0.034470437094569206,0.014842022210359573,0.019046012312173843,0.012567080557346344,0.014302274212241173,t_2d
49,decode,1,1,1,1047,64,8,64,32,"127,0",2,0.03437432460486889,0.014739390462636948,0.01915115863084793,0.012730341404676437,0.014283228665590286,t_2d
50,decode,1,1,1,1048,64,8,64,32,"127,0",2,0.03432072699069977,0.014830566942691803,0.018898211419582367,0.011568097397685051,0.014354335144162178,t_2d
51,decode,1,1,1,1049,64,8,64,32,"127,0",2,0.03416500985622406,0.01466735266149044,0.01904997043311596,0.01244647428393364,0.014158524572849274,t_2d
52,decode,1,1,1,1050,64,8,64,32,"127,0",2,0.034330226480960846,0.014798995107412338,0.018997862935066223,0.012704357504844666,0.014297757297754288,t_2d
53,decode,1,1,1,1051,64,8,64,32,"127,0",2,0.03426913172006607,0.014722906053066254,0.019129598513245583,0.011118967086076736,0.014181621372699738,t_2d
54,decode,1,1,1,1052,64,8,64,32,"127,0",2,0.03419206477701664,0.014764489606022835,0.019032973796129227,0.013639265671372414,0.014286674559116364,t_2d
55,decode,1,1,1,1053,64,8,64,32,"127,0",2,0.03441586159169674,0.014752987772226334,0.01895683817565441,0.01245792955160141,0.014242716133594513,t_2d
56,decode,1,1,1,1054,64,8,64,32,"127,0",2,0.034214556217193604,0.014744466170668602,0.019030971452593803,0.012087402865290642,0.014471076428890228,t_2d
57,decode,1,1,1,1055,64,8,64,32,"127,0",2,0.03423658199608326,0.014731893315911293,0.018979422748088837,0.011891592293977737,0.014266697689890862,t_2d
58,decode,1,1,1,1056,64,8,64,32,"127,0",2,0.034068385139107704,0.013752374798059464,0.017444556578993797,0.011606141924858093,0.014415942132472992,t_2d
59,decode,1,1,1,1057,64,8,64,32,"127,0",2,0.03522108308970928,0.014612264931201935,0.019070971757173538,0.012853555381298065,0.014272751286625862,t_2d
