Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit
1651,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1658,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1658580542,0.0996311454,0.0000000000,83672.0000000000,993.9375000000,0.0000000000
1653,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1660,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1619743009,0.1051497784,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1655,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1662,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1600297378,0.0950078125,0.0000000000,83691.0000000000,993.9375000000,0.0000000000
1657,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1664,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1530085302,0.0998739273,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1659,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1666,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1603899876,0.1122315520,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1661,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1668,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1583926266,0.1035164410,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1663,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1670,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1608801538,0.1045780380,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1665,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1672,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1462497589,0.0539979732,0.0000000000,83691.0000000000,993.9375000000,0.0000000000
1667,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1674,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1599939530,0.1021516510,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1669,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1676,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1619407386,0.1071104098,0.0000000000,83691.0000000000,993.9375000000,0.0000000000
1671,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1678,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1617545915,0.0953950092,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1673,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1680,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1479454081,0.1011441882,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1675,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1682,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1452063331,0.0733445621,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1677,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1684,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1630986169,0.1030402802,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1679,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1686,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1621749318,0.1109665211,0.0000000000,83689.0000000000,993.9375000000,0.0000000000
1681,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1688,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1620755885,0.1138098451,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1683,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1690,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1619934118,0.1138318617,0.0000000000,83690.0000000000,993.9375000000,0.0000000000
1685,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1692,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1607956218,0.1001213880,0.0000000000,83683.0000000000,993.9375000000,0.0000000000
1687,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1694,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1605192228,0.0939653620,0.0000000000,83649.0000000000,993.9375000000,0.0000000000
1689,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1696,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1522581791,0.1091976628,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1691,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1698,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1587619071,0.0952708172,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1693,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1700,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1621832160,0.1037988545,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1695,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1702,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1630619700,0.1001783892,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1697,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1704,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1622645487,0.1102392763,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1699,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1706,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1503465666,0.1001724694,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1701,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1708,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1639180281,0.1017025856,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1703,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1710,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1636107738,0.0966507296,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
