hsakmtmodel.executor.0.jitcu.num_instr_analyzed,hsakmtmodel.executor.0.jitcu.num_instr_executed,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_flat,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_global_scratch_load,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_global_scratch_store,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_lds,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_salu,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_smem,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_tex,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_valu,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_valu_xdlmacc,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves_created,hsakmtmodel.executor.0.jitcu.sq_perf_sel_insts_waves_finished,hsakmtmodel.jitcu.num_instr_analyzed,hsakmtmodel.jitcu.num_instr_executed,hsakmtmodel.jitcu.sq_perf_sel_insts_flat,hsakmtmodel.jitcu.sq_perf_sel_insts_global_scratch_load,hsakmtmodel.jitcu.sq_perf_sel_insts_global_scratch_store,hsakmtmodel.jitcu.sq_perf_sel_insts_lds,hsakmtmodel.jitcu.sq_perf_sel_insts_salu,hsakmtmodel.jitcu.sq_perf_sel_insts_smem,hsakmtmodel.jitcu.sq_perf_sel_insts_tex,hsakmtmodel.jitcu.sq_perf_sel_insts_valu,hsakmtmodel.jitcu.sq_perf_sel_insts_valu_xdlmacc,hsakmtmodel.jitcu.sq_perf_sel_insts_waves,hsakmtmodel.jitcu.sq_perf_sel_insts_waves_created,hsakmtmodel.jitcu.sq_perf_sel_insts_waves_finished,
22697,22133,0,612,97,142,3202,195,709,11213,0,96,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
417,417,0,1,1,0,169,0,2,97,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104659,104659,0,0,0,18332,1998,1536,18332,53761,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27740,26720,0,444,444,0,9768,384,888,6468,0,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117536,113516,0,1764,1764,0,42360,1728,3528,26844,0,864,864,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106927,106927,0,0,0,18884,1506,1536,18884,55141,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79152,76408,0,1208,1208,0,28392,1152,2416,18160,0,576,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1241088,1241088,0,0,51200,0,467456,51200,51200,257280,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15104,15104,0,0,0,512,1536,1536,512,9216,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
844320,844320,0,0,0,86784,387416,5184,57792,146960,27648,8640,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72773,72773,0,0,0,11976,1892,1536,11976,37871,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193562,185760,0,1197,1197,0,70464,3360,2394,37404,0,1120,1120,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
385978,369850,0,4500,4500,2520,31462,756,9000,222294,0,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15104,15104,0,0,0,512,1536,1536,512,9216,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
469984,469984,0,0,0,83584,184928,1152,37376,68480,18304,5120,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25796,25796,0,0,0,2690,1345,1536,2690,14656,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27740,26720,0,444,444,0,9768,384,888,6468,0,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117536,113516,0,1764,1764,0,42360,1728,3528,26844,0,864,864,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79152,76408,0,1208,1208,0,28392,1152,2416,18160,0,576,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
844320,844320,0,0,0,86784,387416,5184,57792,146960,27648,8640,576,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193562,185760,0,1197,1197,0,70464,3360,2394,37404,0,1120,1120,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
385978,369850,0,4500,4500,2520,31462,756,9000,222294,0,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
469984,469984,0,0,0,83584,184928,1152,37376,68480,18304,5120,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
221648,205648,0,2256,2000,0,23408,3072,4256,115328,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23288,23288,0,0,0,2000,2280,1536,2000,12936,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25584,25584,0,0,0,2464,2256,1536,2464,14096,0,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
