Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,WriteSize,VALUUtilization,L2CacheHit,MemUnitStalled
1653,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1660,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0560850057
1655,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1662,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0548240297
1657,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1664,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0460863080
1659,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1666,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0564891973
1661,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1668,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0560632515
1663,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1670,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0583590079
1665,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1672,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0509342415
1667,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1674,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0508057062
1669,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1676,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0528713568
1671,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1678,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0533224460
1673,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1680,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0481541105
1675,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1682,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0558527895
1677,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1684,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0553917672
1679,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1686,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0552878525
1681,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1688,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0461912357
1683,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1690,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0552039503
1685,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1692,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0561284945
1687,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1694,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0502827927
1689,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1696,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0518567084
1691,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1698,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0525012492
1693,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1700,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0535306365
1695,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1702,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0554014538
1697,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1704,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0520271099
1699,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1706,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0569722849
1701,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1708,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0609548856
1703,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1710,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0568274382
1705,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1712,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0477414525
1707,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1714,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0540001480
1709,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1716,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0544119144
1711,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1718,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0560539459
1713,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1720,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0546627053
1715,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1722,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0507261395
1717,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1724,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0557145698
1719,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1726,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0612735558
1721,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1728,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0528822132
1723,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1730,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0550267428
1725,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1732,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0519126250
1727,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1734,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0534094299
1729,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1736,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0517417893
1731,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1738,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0515848475
1733,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1740,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0548507419
1735,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1742,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0533052285
1737,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1744,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0506091226
1739,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1746,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0569169138
1741,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1748,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0551345067
