idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
0,decode,1024,1024,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02893204800784588,0.048532336950302124,0.17744405195116997,ck_ua,triton_2d,0.04249667748808861,0.04203358665108681,1.0110171620815,0.04731742665171623,0.04641605541110039,1.019419384793312
1,decode,1024,1024,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.027972133830189705,0.04536551423370838,0.1765897497534752,ck_ua,ck,0.04024166613817215,0.02151835709810257,1.8701086683667199,0.04405146464705467,0.02633107826113701,1.6729836966863534
4,decode,80,80,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,6.317627942189574,0.01749461516737938,5.748236458748579,t_2d,triton_2d,0.029332265257835388,0.02949189394712448,0.9945873707000544,0.0126582570374012,0.01264987513422966,1.0006626075817031
5,decode,72,72,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.348673323169351,0.015911180526018143,4.939186200499535,t_2d,triton_2d,0.02910630777478218,0.029124151915311813,0.9993873078061974,0.012118034064769745,0.012123864144086838,0.99951912366818
6,decode,64,64,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.903373518958688,0.01735691912472248,4.688431043177843,t_2d,triton_2d,0.029550809413194656,0.02897912636399269,1.019727407997789,0.011688191443681717,0.011699609458446503,0.9990240687259401
7,decode,56,56,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,4.99986601062119,0.017753522843122482,3.9169650059193373,t_2d,triton_2d,0.029371511191129684,0.029669571667909622,0.9899540013547847,0.011725649237632751,0.011849850416183472,0.9895187555801466
8,decode,48,48,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.775491381064057,0.016724923625588417,3.741726838052273,t_2d,triton_2d,0.02934768795967102,0.029141567647457123,1.0070730687761023,0.01172725111246109,0.011588037014007568,1.012013604917316
9,decode,40,40,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.00513156875968,0.01788823865354061,2.9125329572707415,t_2d,triton_2d,0.029398370534181595,0.029284562915563583,1.0038862665953443,0.011581648141145706,0.011477284133434296,1.0090930926252308
10,decode,32,32,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.446654045954347,0.016731955111026764,2.650573756545782,t_2d,triton_2d,0.029324423521757126,0.029189251363277435,1.0046308881580206,0.01129738986492157,0.011395756155252457,0.9913681646929986
11,decode,24,24,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,4.472223529592156,0.019421055912971497,1.8906667828559875,t_2d,triton_2d,0.029444023966789246,0.028973501175642014,1.0162397629577056,0.011294987052679062,0.011296197772026062,0.999892820631204
12,decode,16,16,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.3606330417096615,0.018663890659809113,1.5370251145213842,t_2d,triton_2d,0.02950308844447136,0.029211267828941345,1.0099900017088916,0.010449923574924469,0.010428465902805328,1.002057605818452
13,decode,8,8,1,131072,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,5.127449193969369,0.019390461966395378,0.7375278975814581,ck_pk,triton_2d,0.029786545783281326,0.02909228205680847,1.0238641893103184,0.010426286607980728,0.01033935695886612,1.0084076456070188
