idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
873,prefill,219,8192,4648,10320,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7894139755517244,4.830570658668876,13.597788382321596,ck_ua,ck,3.4171619173139334,3.172097597271204,1.0772562358275313,3.4236461902037263,3.186998781748116,1.074254000287319
851,prefill,210,8192,5558,10309,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.5692457798868418,4.6820140443742275,13.891025027260184,ck_ua,ck,3.336697742342949,3.1107325479388237,1.0726405086010529,3.3408429007977247,3.1167801562696695,1.0718891719319164
885,prefill,224,8192,6810,10326,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.9021520633250475,4.916940629482269,13.963715359568596,ck_ua,ck,3.5307366540655494,3.249418782070279,1.0865748279500114,3.5171044431626797,3.263663873076439,1.077655230422776
37,decode,928,928,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.02644425258040428,0.04269196651875973,0.15877760015428066,ck_ua,triton_2d,0.06912705954164267,0.06895745638757944,1.0024595332100124,0.041943369433283806,0.04173154477030039,1.0050758883753128
835,prefill,204,8192,6325,10301,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4073187727481127,4.475714499130845,13.580578099936247,ck_ua,ck,3.228153148666024,3.0199958756566048,1.0689263434719631,3.2298209331929684,3.0149571457877755,1.0712659507301392
839,prefill,205,8192,7643,10303,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.426251070573926,4.475957341492176,13.523372961208224,ck_ua,ck,3.2159753469750285,3.0179017782211304,1.0656328745300154,3.231668290682137,3.0229095090180635,1.0690588921174438
21,decode,992,992,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.027805287390947342,0.04542968235909939,0.1692670863121748,ck_ua,triton_2d,0.07026309613138437,0.06987410131841898,1.0055670814454232,0.04381462000310421,0.04407115280628204,0.9941791220142245
1483,prefill,209,8192,5713,10350,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.543112775310874,4.688849672675133,13.905415590852499,ck_ua,ck,3.3704939857125282,3.1085769552737474,1.0842562478610782,3.3619456132873893,3.1014493945986032,1.083991768217292
1851,prefill,251,8192,5358,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5099477972835302,5.180470691993833,15.223871124908328,ck_ua,ck,3.651424115523696,3.412976171821356,1.0698651064929912,3.6498420499265194,3.418167969211936,1.0677772663020992
74,decode,784,784,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.024810759350657463,0.035419873893260956,0.13535101898014545,ck_ua,ck,0.07404089905321598,0.020920955576002598,3.539078259797304,0.03468045964837074,0.022198203951120377,1.5623092627104351
949,prefill,249,8192,5785,10358,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.417647210881114,5.226964736357331,14.37647040002048,ck_ua,ck,3.70331222191453,3.46301706507802,1.0693889612210432,3.7079293001443148,3.469012239947915,1.0688717835714487
2101,prefill,250,8192,6316,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.634698176756501,5.327352974563837,15.2432466391474,ck_ua,ck,3.7866375502198935,3.5485844034701586,1.0670839748145606,3.794862567447126,3.5526847513392568,1.0681675501932941
2419,prefill,254,8192,5523,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.172849118709564,4.716430138796568,15.088443644344807,ck_ua,ck,3.3066851552575827,3.0681465193629265,1.0777468202347085,3.3131636679172516,3.071937090717256,1.0785258845075087
82,decode,752,752,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.02223532646894455,0.03437930718064308,0.12990422546863556,ck_ua,ck,0.06984645500779152,0.020991615019738674,3.3273502273223876,0.033274367451667786,0.020998879335820675,1.5845782491309963
101,decode,672,672,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.021609896793961525,0.032523972913622856,0.11680526658892632,ck_ua,triton_2d,0.06954679731279612,0.06976969074457884,0.9968052971225182,0.032138433307409286,0.031820256263017654,1.0099991980505016
1963,prefill,250,8192,5495,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6216227803379297,5.328925605863333,15.22311782464385,ck_ua,ck,3.7937133153900504,3.555254954844713,1.0670720844423245,3.796410863287747,3.55805731844157,1.0669897990711898
1849,prefill,251,8192,7415,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.5080835223197937,5.1649094093590975,15.22706146351993,ck_ua,ck,3.6645839316770434,3.4265621285885572,1.069463734832828,3.669782942160964,3.432553708553314,1.0691115868097028
90,decode,720,720,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.021884776651859283,0.033267680555582047,0.12416890822350979,ck_ua,ck,0.07059510331600904,0.020472826436161995,3.448234347911728,0.032217809930443764,0.020553343929350376,1.5675215692973645
629,prefill,121,8192,4467,10198,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.374475007876754,4.1315588634461164,12.541381549090147,ck_ua,ck,3.091825065203011,2.884026044048369,1.0720517145063468,3.0917456466704607,2.886919043958187,1.0709498948856704
759,prefill,173,8192,7475,10263,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.616142040118575,4.599332017824054,13.292560447007418,ck_ua,ck,3.1939024478197098,3.002715026959777,1.063671516991577,3.183409566991031,3.0016243597492576,1.0605622774386596
1329,prefill,147,8192,5081,10273,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.423094470053911,4.16263728402555,12.890449119731784,ck_ua,ck,3.0909113120287657,2.892836555838585,1.0684707733627081,3.093109610490501,2.894078688696027,1.0687717727136683
170,decode,400,400,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015931203961372375,0.02076956443488598,0.07048230618238449,ck_ua,ck,0.07048433180898428,0.020668418146669865,3.4102431694967836,0.01962503418326378,0.01509062945842743,1.3004781700675905
793,prefill,187,8192,4304,10280,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.4176957327872515,4.240636248141527,13.363703340291977,ck_ua,ck,3.0638885125517845,2.851128284819424,1.0746231689626815,3.0699425376951694,2.855527037754655,1.0750878899431164
1251,prefill,116,8192,7419,10234,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.3068195451050997,4.053859319537878,12.381936330348253,ck_ua,ck,3.0609440291300416,2.86102541256696,1.069876560929849,3.0607030587270856,2.8614265704527497,1.0696423561352495
137,decode,528,528,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.020546233281493187,0.02672518603503704,0.09302161633968353,ck_ua,triton_2d,0.06837587337940931,0.0684116268530488,0.9994773772341902,0.02558906562626362,0.025791116058826447,0.992165890297187
723,prefill,159,8192,5053,10245,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.6177370231598616,4.40421006642282,13.04968511685729,ck_ua,ck,3.253042590804398,3.0388265987858176,1.0704929962453835,3.2570350635796785,3.0457188421860337,1.0693813947849418
177,decode,368,368,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.015536649152636528,0.020379014313220978,0.0655492302030325,ck_ua,triton_2d,0.07115725427865982,0.07144324015825987,0.9959970197464934,0.019937260076403618,0.019945623353123665,0.9995806961471205
1241,prefill,112,8192,7822,10229,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1736153177917004,3.8909988943487406,12.554484559223056,ck_ua,ck,2.941723777912557,2.757498505525291,1.0668088385245278,2.9454270703718066,2.7597971027716994,1.0672621793151666
174,decode,384,384,1,1,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,0.015454553067684174,0.020293844863772392,0.06875661201775074,ck_ua,ck,0.032734391279518604,0.011087432503700256,2.9523869722403284,0.018561012111604214,0.01889697276055813,0.9822214566739952
1375,prefill,165,8192,8028,10296,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.7644875701516867,4.658305319026113,13.031157106161118,ck_ua,ck,3.3941020723432302,3.169640777632594,1.0708160042281782,3.4012012323364615,3.175694700330496,1.071010142121816
387,prefill,23,8192,6406,10077,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.653064951300621,2.8223232366144657,10.819998290389776,ck_ua,ck,2.662908169440925,2.500637974590063,1.0648915182844343,2.665538373403251,2.500933720730245,1.065817279086046
1113,prefill,60,8192,6773,10165,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.917653787881136,3.090705769136548,11.672851582989097,ck_ua,ck,2.7757975086569786,2.61608456261456,1.0610503759415173,2.773845191113651,2.618133584037423,1.0594742789388556
1165,prefill,81,8192,5549,10191,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0938684940338135,3.3359240274876356,11.884700367227197,ck_ua,ck,2.9833048908039927,2.760688802227378,1.0806378786326818,2.9882243229076266,2.766134892590344,1.0802887201604645
987,prefill,8,8192,7316,10102,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.351187542080879,2.4818699806928635,10.625023348256946,ck_ua,ck,2.491773017682135,2.326274858787656,1.0711429942464878,2.496208269149065,2.3291017673909664,1.0717471877346474
249,decode,168,168,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012444471940398216,0.013490067794919014,0.03383951261639595,ck_ua,triton_2d,0.028307153843343258,0.028686230070888996,0.98678542887619,0.014224061742424965,0.014442936517298222,0.9848455489220553
407,prefill,31,8192,4731,10087,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.7337437495589256,2.8830767143517733,11.031835665926337,ck_ua,ck,2.679785005748272,2.5206916965544224,1.0631149415897696,2.687668059952557,2.5226429710164666,1.0654175366201726
359,prefill,11,8192,7295,10063,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.4551020935177803,2.6099033188074827,10.01520431600511,ck_ua,ck,2.5788916228339076,2.418507053516805,1.0663155267973619,2.5774708064273,2.4212991539388895,1.0644991149624596
1115,prefill,60,8192,8133,10166,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.916231146082282,3.076222212985158,11.68656493537128,ck_ua,ck,2.7772086998447776,2.614949126727879,1.0620507571097324,2.7768796449527144,2.6187260262668133,1.0603933428314227
549,prefill,89,8192,7183,10158,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.0171443708240986,3.1724007800221443,11.81503115221858,ck_ua,ck,2.8099349280819297,2.6033508125692606,1.0793531607477789,2.817930458113551,2.609901437535882,1.0797076156155836
971,prefill,2,8192,6384,10000,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,1.954968273639679,2.093606907874346,7.447571959346533,ck_ua,ck,2.082246313802898,1.9572954485192893,1.0638385305489444,2.0856888545677066,1.957518090493977,1.0654761581495198
233,decode,200,200,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.013121962547302246,0.01454763114452362,0.03848755732178688,ck_ua,triton_2d,0.028713527135550976,0.028890441171824932,0.9938763816301119,0.015206304378807545,0.014541493728756905,1.0457181815328866
415,prefill,34,8192,6076,10091,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.812399109825492,2.965439110994339,10.960345156490803,ck_ua,ck,2.7267086459323764,2.553903814405203,1.0676630147746653,2.7292872220277786,2.5603734143078327,1.065972333088613
529,prefill,80,8192,8113,10148,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.068314353004098,3.1885388772934675,11.532944859936833,ck_ua,ck,2.8900598315522075,2.723928210325539,1.0609897208733023,2.8944327402859926,2.7285069273784757,1.0608119448928564
317,decode,16,16,1,1,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,0.012654811143875122,0.013133976608514786,0.013450020924210548,ck_ua,triton_2d,0.02863334957510233,0.028827195055782795,0.9932756038072604,0.014888965524733067,0.015032291412353516,0.9904654663957176
523,prefill,78,8192,5491,10145,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.013139823451638,3.156080562621355,11.737529607489705,ck_ua,ck,2.8143847920000553,2.690343866124749,1.0461059745697037,2.8156502172350883,2.699255533516407,1.0431210318080002
547,prefill,88,8192,5289,10157,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.990710036829114,3.1228017527610064,11.896089557558298,ck_ua,ck,2.7757332380861044,2.612444292753935,1.0625042783821572,2.7809518855065107,2.615351020358503,1.0633187911905255
441,prefill,45,8192,6071,10104,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,2.833484625443816,2.9724822845309973,11.028441973030567,ck_ua,ck,2.747451774775982,2.5750669790431857,1.066943810446767,2.747534094378352,2.5791703769937158,1.0652782456275267
557,prefill,92,8192,4767,10162,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.082994045689702,3.2053934410214424,11.965211620554328,ck_ua,ck,2.8867160249501467,2.713823914527893,1.063707932374209,2.8917084308341146,2.7163047902286053,1.0645743589734447
