M,N,K
25007,2048,3072
25007,3072,6144
25007,8192,3072
25066,3072,6144
25066,8192,3072
25149,3072,6144
25149,8192,3072
25603,2048,3072
26007,3072,3072
26007,4096,3072
26038,3072,3072
26038,4096,3072
26191,3072,3072
26191,4096,3072
26922,3072,3072
26922,4096,3072
27009,3072,6144
27009,8192,3072
27037,2048,3072
27555,3072,6144
27555,8192,3072
27654,3072,3072
27654,4096,3072
27935,3072,3072
27935,4096,3072
28004,2048,3072
28004,3072,6144
28004,8192,3072
28005,3072,6144
28005,8192,3072
28036,2048,3072
28036,3072,6144
28036,8192,3072
28261,3072,6144
28261,8192,3072
28429,3072,3072
28429,4096,3072
28514,2048,3072
28597,3072,3072
28597,4096,3072
28959,3072,6144
28959,8192,3072
28961,3072,6144
28961,8192,3072
28997,3072,6144
28997,8192,3072
29003,3072,3072
29003,4096,3072
29747,3072,6144
29747,8192,3072
30000,3072,3072
30000,3072,6144
30000,4096,3072
30000,8192,3072
30001,2048,3072
30001,3072,3072
30001,3072,6144
30001,4096,3072
30001,8192,3072
30002,2048,3072
30002,3072,6144
30002,8192,3072
30003,3072,3072
30003,4096,3072
30006,3072,6144
30006,8192,3072
30010,3072,6144
30010,8192,3072
30012,3072,6144
30012,8192,3072
30016,3072,6144
30016,8192,3072
30032,2048,3072
30079,3072,6144
30079,8192,3072
30086,3072,6144
30086,8192,3072
30095,3072,6144
30095,8192,3072
30216,3072,6144
30216,8192,3072
30218,3072,6144
30218,8192,3072
30224,3072,6144
30224,8192,3072
30295,3072,6144
30295,8192,3072
30303,3072,6144
30303,8192,3072
