cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,192,2048,3072,ck,7,0,11.2847,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,214.09,679.48,0.0
256,200,2048,3072,ck,18,0,11.5043,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,218.75,671.49,0.0
256,208,2048,3072,ck,7,0,11.4884,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,227.82,677.41,0.0
256,216,2048,3072,ck,7,0,11.5296,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,235.73,679.97,0.0
256,224,2048,3072,ck,7,0,11.4084,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,247.06,692.22,0.0
256,232,2048,3072,ck,18,0,11.5751,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,252.2,687.2,0.0
256,240,2048,3072,ck,18,0,11.6395,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,259.45,688.33,0.0
256,248,2048,3072,ck,7,0,11.182,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,279.07,721.62,0.0
256,256,2048,3072,ck,18,0,11.6116,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,277.41,699.86,0.0
256,272,2048,3072,ck,18,0,11.6657,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,293.39,706.44,0.0
256,288,2048,3072,ck,18,0,11.6347,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,311.47,718.18,0.0
256,304,2048,3072,ck,18,0,11.6587,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,328.1,726.54,0.0
256,320,2048,3072,ck,18,0,11.6383,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,345.97,737.67,0.0
256,336,2048,3072,ck,18,0,11.8074,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,358.07,736.82,0.0
256,352,2048,3072,ck,18,0,11.5864,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,382.27,760.77,0.0
256,368,2048,3072,ck,18,0,11.7379,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,394.49,760.72,0.0
256,384,2048,3072,ck,18,0,12.1539,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,397.55,744.12,0.0
256,400,2048,3072,ck,12,0,12.6567,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,397.67,723.62,0.0
256,416,2048,3072,ck,18,0,11.7269,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,446.37,790.78,0.0
256,432,2048,3072,ck,18,0,11.8508,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,458.69,792.19,0.0
256,448,2048,3072,ck,18,0,11.7467,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,479.89,808.97,0.0
256,464,2048,3072,ck,18,0,11.955,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,488.37,804.47,0.0
