cu_num,B,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,4096,8192,1024,0,0,1069.5981,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,1027.97,1380.33,0.0
256,16,8192,8192,1024,10,0,2127.4053,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1033.66,1261.8,0.0
256,16,16384,8192,1024,10,0,4020.3682,bf16_batched_256x128x192x64_32x32_2x3_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,1093.94,1268.61,0.0
304,16,1,1280,8192,78,0,111.9323,bf16_batched_64x16x16x64_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,3.0,3000.45,0.0
304,16,32,1280,8192,29,0,123.5316,bf16_batched_256x32x96x128_16x16_1x3_16x16x1_16x16x1_1x32x1x8_4x4x1_1x1_intrawave_v3,86.92,2794.78,0.0
304,16,64,1280,8192,21,0,133.0927,bf16_batched_256x64x128x128_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,161.35,2666.89,0.0
304,16,128,1280,8192,41,0,197.9104,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,217.02,1891.47,0.0
304,16,192,1280,8192,11,0,231.4153,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,278.39,1701.44,0.0
304,16,256,1280,8192,11,0,256.7255,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,334.6,1609.26,0.0
304,16,320,1280,8192,13,0,329.4822,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,325.89,1312.78,0.0
304,16,512,1280,8192,11,0,461.2279,bf16_batched_256x128x160x64_32x32_1x5_8x32x1_8x32x1_1x64x1x4_8x8x1_1x1_intrawave_v3,372.48,1063.97,0.0
304,16,1024,1280,8192,41,0,773.6965,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,444.1,834.85,0.0
304,16,2048,1280,8192,41,0,1381.6015,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,497.39,692.17,0.0
304,16,4096,1280,8192,41,0,2666.4169,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,515.44,591.45,0.0
304,16,8192,1280,8192,41,0,5488.8801,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,500.79,513.51,0.0
304,16,16384,1280,8192,41,0,11248.3376,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v5,488.74,471.32,0.0
304,16,1,8192,1024,79,0,75.979,bf16_batched_128x16x32x64_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,3.53,3536.9,0.0
304,16,32,8192,1024,30,0,84.2878,bf16_batched_256x32x64x256_16x16_1x2_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v3,101.91,3296.71,0.0
304,16,64,8192,1024,46,0,98.1849,bf16_batched_256x64x128x64_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,174.97,2926.21,0.0
304,16,128,8192,1024,13,0,125.0599,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,274.75,2448.3,0.0
304,16,192,8192,1024,13,0,169.3914,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,304.26,1918.98,0.0
304,16,256,8192,1024,13,0,182.1985,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,377.17,1887.68,0.0
304,16,320,8192,1024,13,0,245.1626,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,350.38,1479.86,0.0
304,16,512,8192,1024,13,0,322.0123,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,426.81,1302.53,0.0
304,16,1024,8192,1024,13,0,594.1558,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,462.64,960.06,0.0
304,16,2048,8192,1024,0,0,1133.4458,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,485.03,769.7,0.0
304,16,4096,8192,1024,0,0,2168.7724,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,506.97,680.75,0.0
304,16,8192,8192,1024,13,0,4318.3042,bf16_batched_256x128x128x64_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,509.23,621.62,0.0
304,16,16384,8192,1024,0,0,8164.1629,bf16_batched_256x256x256x32_32x32_4x4_4x64x1_4x64x1_1x32x1x8_8x8x1_1x1_intrawave_v4,538.7,624.71,0.0
