cu_num,M,N,K,kernelId,splitK,us,kernelName
304,64,7168,2304,21,0,10.2061,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x256_1x4x1_16x16x64_default
304,128,512,7168,2,0,9.5906,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x64_default
304,128,3072,1536,37,0,6.4821,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x512_1x4x1_16x16x64_default
304,128,4608,7168,9,0,20.7923,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default
304,128,7168,256,43,0,4.5879,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x128_1x4x1_16x16x64_default
304,128,7168,2048,37,0,10.8584,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x512_1x4x1_16x16x64_default
304,128,7168,2304,51,0,12.4821,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x128x256_1x4x1_16x16x64_default
304,256,512,7168,37,0,11.0833,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x64x512_1x4x1_16x16x64_default
304,256,3072,1536,51,0,8.3847,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_32x128x256_1x4x1_16x16x64_default
304,256,4608,7168,23,0,30.6937,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x128x256_1x4x1_16x16x64_default
304,256,7168,256,6,0,5.3839,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x128x256_1x4x1_16x16x64_default
304,256,7168,2048,24,0,15.6063,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x128x256_1x4x1_16x16x64_default
304,256,7168,2304,52,0,17.4402,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x128x256_1x4x1_16x16x64_default
304,512,512,7168,9,0,12.7231,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default
304,512,3072,1536,57,0,11.515,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x192x256_1x4x1_16x16x64_default
304,512,4608,7168,24,0,45.4527,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x128x256_1x4x1_16x16x64_default
304,512,7168,256,46,0,7.3701,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x128x128_1x4x1_16x16x64_default
304,512,7168,2048,29,0,24.4783,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x128x256_1x4x1_16x16x64_default
304,512,7168,2304,29,0,26.5793,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x128x256_1x4x1_16x16x64_default
304,1024,512,7168,9,0,17.8898,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x64x512_1x4x1_16x16x64_default
304,1024,3072,1536,132,0,17.0442,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x128x256_1x4x1_16x16x64_default
304,1024,4608,7168,1,0,73.565,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x128x256_1x4x1_16x16x64_default
304,1024,7168,256,19,0,12.1142,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x256x128_1x4x1_16x16x64_default
304,1024,7168,2048,14,0,41.5315,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x256x128_1x4x1_16x16x64_default
304,1024,7168,2304,46,0,42.7825,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x128x128_1x4x1_16x16x64_default
