gfx,cu_num,B,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,16,32,1280,8192,28,0,68.9821,a8w8_batched_rowwise_256x32x128x256_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,155.6551,5004.8295,0.0
gfx942,304,16,1,8192,1024,78,0,37.703,a8w8_batched_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,7.1197,7127.5593,0.0
gfx942,304,16,16384,8192,1024,1,0,6094.2926,a8w8_batched_rowwise_256x256x256x128_32x32_4x4_8x32x1_8x32x1_1x32x1x8_8x8x1_1x1_intrawave_v3,721.6665,836.8935,0.0
gfx942,304,16,64,1280,8192,21,0,74.9374,a8w8_batched_rowwise_256x64x128x256_32x32_1x2_16x16x1_16x16x1_1x32x1x8_8x8x1_1x1_intrawave_v3,286.5703,4736.5264,0.0
gfx942,80,16,1,1280,8192,78,0,86.7259,a8w8_batched_rowwise_64x16x16x128_16x16_1x1_8x8x1_8x8x1_1x16x1x4_4x4x1_1x1_interwave_v2,3.869,3872.5159,0.0
