gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16,512,7168,asm,6,7,7.9691,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,14.74,476.98,0.0029
gfx950,256,128,1536,7168,asm,23,8,10.3811,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,271.51,1186.85,0.0094
gfx950,256,20480,7168,2304,ck,13,2,395.8895,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1708.7,902.53,0.0
gfx950,256,32,512,7168,asm,22,7,9.1625,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,25.64,429.16,0.0033
