tile_m,tile_n,knl_name,co_name
32,128,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_32x128_3tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_32x128_3tg_pf2.co
32,128,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_32x128_3tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_32x128_3tg_pf3.co
48,128,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_48x128_2tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_48x128_2tg_pf3.co
48,128,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_48x128_3tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_48x128_3tg_pf2.co
64,192,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x192_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x192_2tg_pf2.co
64,320,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x320_1tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x320_1tg_pf3.co
64,384,_ZN5aiter56fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x384_1tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_multix_64x384_1tg_pf3.co
