tile_m,tile_n,knl_name,co_name,smf
64,384,_ZN5aiter56fmoe_stage1_Int8_pertokenInt8_g1u1_multix_64x384_1tg_pf2E,fmoe_stage1_Int8_pertokenInt8_g1u1_multix_64x384_1tg_pf2.co,0
80,128,_ZN5aiter56fmoe_stage1_Int8_pertokenInt8_g1u1_multix_80x128_1tg_pf3E,fmoe_stage1_Int8_pertokenInt8_g1u1_multix_80x128_1tg_pf3.co,0
