config_idx,token,model_dim,inter_dim,expert,topk,act_type,q_type,dtype,q_dtype_a,q_dtype_w,use_g1u1,doweight_stage1,approach,block_m,stage1_kernel_name,stage1_kernel_type,stage1_time_us,stage1_error,stage1_tflops,quant_time_us,stage2_kernel_name,stage2_kernel_type,stage2_time_us,stage2_error,stage2_tflops,total_time_us
0,1,7168,256,256,8,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,64,_ZN5aiter55fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x256_pf3E,asm,74.545,2.51%,1.18,23.94755555555562,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightA8W8blkscale_v3_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,15.7117,15.68%,5.61,114.20425555555562
0,1,7168,256,256,8,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,64,_ZN5aiter55fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x256_pf2E,asm,82.9935,2.51%,1.06,23.94755555555562,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightA8W8blkscale_v3_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,15.7117,15.68%,5.61,122.65275555555561
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,16,moe_ck2stages_gemm1_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight0_silu_F8_F8_B16,ck,34.7527,0.04%,2.85,24.353111111111087,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,9.4023,17.84%,10.54,68.50811111111108
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,16,_ZN5aiter59fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x128_4tg_pf3E,asm,39.694,27.58%,2.5,24.353111111111087,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,9.4023,17.84%,10.54,73.44941111111109
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,16,_ZN5aiter59fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x256_2tg_pf3E,asm,49.7503,16.36%,1.99,24.353111111111087,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,9.4023,17.84%,10.54,83.50571111111108
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,64,_ZN5aiter59fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_64x128_2tg_pf3E,asm,44.0702,2.84%,2.25,24.353111111111087,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightA8W8blkscale_v3_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,16.0298,17.58%,6.18,84.4531111111111
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,1-stage,32,_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_32x256E,asm,88.0041,0.00%,1.13,0.0,,,0.0,,0.0,88.0041
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,1-stage,32,_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256E,asm,89.5284,0.00%,1.11,0.0,,,0.0,,0.0,89.5284
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,1-stage,32,_ZN5aiter49fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_32x256E,asm,95.8392,0.00%,1.03,0.0,,,0.0,,0.0,95.8392
1,1,7168,256,257,9,ActivationType.Silu,QuantType.per_1x128,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,1,0,2-stage,16,_ZN5aiter59fmoe_stage1_bf16_pertokenFp8_blockscale_g1u1_16x128_4tg_pf2E,asm,63.5226,28.65%,1.56,24.353111111111087,moe_ck2stages_gemm2_256x16x128x256_1x4_MulABScaleExpertWeightA8W8blkscale_v1_Nswizzle0_Quant4_MulRoutedWeight1_F8_F8_B16,ck,9.4023,17.84%,10.54,97.27801111111108
