cu_num,M,N,K,libtype,kernelId,preshuffleB,splitK,us,kernelName,tflops,bw,errRatio
256,2048,7168,2048,ck,13,True,0,57.5653,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1044.54,837.91,0.0
256,2048,7168,2304,ck,13,True,0,64.239,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1053.03,787.59,0.0
256,2048,7168,4096,ck,13,True,0,102.1224,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1177.6,657.14,0.0
256,2048,7168,4608,ck,13,True,0,112.7313,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1200.12,637.16,0.0
256,2048,7168,16384,ck,13,True,0,346.2227,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1389.38,520.92,0.0
256,2048,7168,18432,ck,13,True,0,387.1187,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1397.93,514.65,0.0
256,2048,8192,512,ck,16,True,0,27.6024,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,622.4,1405.58,0.0
256,2048,8192,1536,ck,13,True,0,51.0289,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1010.01,965.79,0.0
256,2048,9216,7168,ck,13,True,0,206.9826,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1307.27,572.46,0.0
256,2048,11264,1536,ck,13,True,0,71.9306,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,985.21,925.68,0.0
256,2048,12288,1536,ck,13,True,0,75.0286,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1030.4,964.32,0.0
256,2048,14336,1536,ck,13,True,0,85.7983,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1051.24,977.71,0.0
256,2048,16384,512,ck,16,True,0,51.5381,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,666.69,1485.23,0.0
256,2048,20480,1536,ck,13,True,0,120.3768,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1070.38,984.32,0.0
256,2048,24576,1536,ck,13,True,0,139.5488,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1107.99,1014.4,0.0
256,2048,32768,512,ck,16,True,0,96.3468,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,713.25,1578.09,0.0
