M,N,K,q_dtype_w
2048,1024,1024,torch.int8
4096,1024,1024,torch.int8
8192,1024,1024,torch.int8
16384,1024,1024,torch.int8
32768,1024,1024,torch.int8
1,1024,2048,torch.int8
2,1024,2048,torch.int8
4,1024,2048,torch.int8
8,1024,2048,torch.int8
16,1024,2048,torch.int8
32,1024,2048,torch.int8
64,1024,2048,torch.int8
128,1024,2048,torch.int8
256,1024,2048,torch.int8
512,1024,2048,torch.int8
1024,1024,2048,torch.int8
2048,1024,2048,torch.int8
4096,1024,2048,torch.int8
8192,1024,2048,torch.int8
16384,1024,2048,torch.int8
32768,1024,2048,torch.int8
1,1024,4096,torch.int8
2,1024,4096,torch.int8
4,1024,4096,torch.int8
8,1024,4096,torch.int8
16,1024,4096,torch.int8
32,1024,4096,torch.int8
64,1024,4096,torch.int8
128,1024,4096,torch.int8
256,1024,4096,torch.int8
512,1024,4096,torch.int8
1024,1024,4096,torch.int8
2048,1024,4096,torch.int8
4096,1024,4096,torch.int8
8192,1024,4096,torch.int8
16384,1024,4096,torch.int8
32768,1024,4096,torch.int8
1,1152,2048,torch.int8
2,1152,2048,torch.int8
4,1152,2048,torch.int8
8,1152,2048,torch.int8
16,1152,2048,torch.int8
32,1152,2048,torch.int8
64,1152,2048,torch.int8
128,1152,2048,torch.int8
256,1152,2048,torch.int8
512,1152,2048,torch.int8
1024,1152,2048,torch.int8
2048,1152,2048,torch.int8
4096,1152,2048,torch.int8
8192,1152,2048,torch.int8
16384,1152,2048,torch.int8
32768,1152,2048,torch.int8
1,1536,2048,torch.int8
2,1536,2048,torch.int8
4,1536,2048,torch.int8
8,1536,2048,torch.int8
16,1536,2048,torch.int8
32,1536,2048,torch.int8
64,1536,2048,torch.int8
128,1536,2048,torch.int8
256,1536,2048,torch.int8
512,1536,2048,torch.int8
1024,1536,2048,torch.int8
2048,1536,2048,torch.int8
4096,1536,2048,torch.int8
8192,1536,2048,torch.int8
16384,1536,2048,torch.int8
32768,1536,2048,torch.int8
1,2048,512,torch.int8
2,2048,512,torch.int8
4,2048,512,torch.int8
8,2048,512,torch.int8
16,2048,512,torch.int8
32,2048,512,torch.int8
64,2048,512,torch.int8
128,2048,512,torch.int8
256,2048,512,torch.int8
512,2048,512,torch.int8
1024,2048,512,torch.int8
2048,2048,512,torch.int8
4096,2048,512,torch.int8
8192,2048,512,torch.int8
16384,2048,512,torch.int8
32768,2048,512,torch.int8
1,2048,1024,torch.int8
2,2048,1024,torch.int8
4,2048,1024,torch.int8
8,2048,1024,torch.int8
16,2048,1024,torch.int8
32,2048,1024,torch.int8
64,2048,1024,torch.int8
128,2048,1024,torch.int8
256,2048,1024,torch.int8
512,2048,1024,torch.int8
1024,2048,1024,torch.int8
2048,2048,1024,torch.int8
4096,2048,1024,torch.int8
8192,2048,1024,torch.int8
16384,2048,1024,torch.int8
32768,2048,1024,torch.int8
1,2048,2048,torch.int8
2,2048,2048,torch.int8
4,2048,2048,torch.int8
8,2048,2048,torch.int8
16,2048,2048,torch.int8
32,2048,2048,torch.int8
64,2048,2048,torch.int8
128,2048,2048,torch.int8
256,2048,2048,torch.int8
512,2048,2048,torch.int8
1024,2048,2048,torch.int8
2048,2048,2048,torch.int8
4096,2048,2048,torch.int8
8192,2048,2048,torch.int8
16384,2048,2048,torch.int8
32768,2048,2048,torch.int8
1,2048,4096,torch.int8
2,2048,4096,torch.int8
4,2048,4096,torch.int8
8,2048,4096,torch.int8
16,2048,4096,torch.int8
32,2048,4096,torch.int8
64,2048,4096,torch.int8
128,2048,4096,torch.int8
256,2048,4096,torch.int8
512,2048,4096,torch.int8
1024,2048,4096,torch.int8
2048,2048,4096,torch.int8
4096,2048,4096,torch.int8
8192,2048,4096,torch.int8
16384,2048,4096,torch.int8
32768,2048,4096,torch.int8
1,2176,4096,torch.int8
2,2176,4096,torch.int8
4,2176,4096,torch.int8
8,2176,4096,torch.int8
16,2176,4096,torch.int8
32,2176,4096,torch.int8
64,2176,4096,torch.int8
128,2176,4096,torch.int8
256,2176,4096,torch.int8
512,2176,4096,torch.int8
1024,2176,4096,torch.int8
2048,2176,4096,torch.int8
4096,2176,4096,torch.int8
8192,2176,4096,torch.int8
16384,2176,4096,torch.int8
32768,2176,4096,torch.int8
1,2304,2048,torch.int8
2,2304,2048,torch.int8
4,2304,2048,torch.int8
8,2304,2048,torch.int8
16,2304,2048,torch.int8
32,2304,2048,torch.int8
64,2304,2048,torch.int8
128,2304,2048,torch.int8
256,2304,2048,torch.int8
512,2304,2048,torch.int8
1024,2304,2048,torch.int8
2048,2304,2048,torch.int8
4096,2304,2048,torch.int8
8192,2304,2048,torch.int8
