gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11939,4,5.7483,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0134,13.13,1654.56
gfx950,256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,6.0759,auto,0.0,24.85,1577.48
gfx950,256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.9991,auto,0.0,50.34,1622.26
gfx950,256,48,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8505,1,7.3951,flydsl_gemm4_abf16_wbf16_bf16_t16x64x256_split_k1_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0029,61.25,1335.96
gfx950,256,64,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11928,1,7.1839,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,84.07,1395.76
gfx950,256,80,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,16227,1,7.4363,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,101.53,1368.22
gfx950,256,96,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,11928,1,7.5909,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,119.35,1359.78
gfx950,256,112,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,12664,1,7.6488,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,138.19,1368.76
gfx950,256,128,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,14738,1,7.9934,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,151.12,1328.2
gfx950,256,256,3072,1536,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,11.3573,native,0.0,212.72,1038.67
gfx950,256,1,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.5365,auto,0.0,3.9,3898.17
gfx950,256,2,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8135,2,7.6621,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k2_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0026,7.66,3836.68
gfx950,256,4,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.6525,auto,0.0,15.35,3846.31
gfx950,256,8,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.7634,auto,0.0,30.25,3800.86
gfx950,256,16,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.8742,auto,0.0,59.66,3766.1
gfx950,256,32,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,8.0383,auto,0.0,116.88,3725.91
gfx950,256,48,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6355,1,9.4041,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,149.86,3216.14
gfx950,256,64,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,8531,1,10.0519,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,186.93,3038.21
gfx950,256,80,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9481,1,10.6134,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0034,221.31,2905.26
gfx950,256,96,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9487,1,11.222,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp4_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0033,251.16,2773.98
gfx950,256,112,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,9481,1,11.6954,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0034,281.16,2686.91
gfx950,256,128,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,10707,1,12.2231,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,307.46,2595.04
gfx950,256,256,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5047,1,15.8076,flydsl_gemm3_abf16_wbf16_bf16_t128x64x128_split_k1_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,475.48,2155.84
gfx950,256,1,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,36.0096,auto,0.0,6.43,6434.85
gfx950,256,2,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,36.6692,auto,0.0,12.64,6320.37
gfx950,256,4,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,35.8706,auto,0.0,25.83,6463.69
gfx950,256,8,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,36.736,auto,0.0,50.45,6316.5
gfx950,256,16,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,37.9986,auto,0.0,97.55,6116.44
gfx950,256,32,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,41.9799,auto,0.0,176.59,5554.15
gfx950,256,48,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,40.4689,native,0.0,274.78,5779.98
gfx950,256,64,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,42.6559,native,0.0,347.59,5501.13
gfx950,256,80,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,46.631,native,0.0,397.45,5048.19
gfx950,256,96,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,54.0897,native,0.0,411.17,4365.87
gfx950,256,112,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,58.5779,native,0.0,442.95,4044.11
gfx950,256,128,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,58.424,native,0.0,507.56,4067.54
gfx950,256,256,16160,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,102.2746,native,0.0,579.88,2381.96
